Video,Predicted,Real,Fake,Total,Label,Accuracy (%),Real (%),Fake (%)
01_02__hugging_happy__YVGY8LOK.mp4,0,18,13,31,0,100,58.06451613,41.93548387
01_02__meeting_serious__YVGY8LOK.mp4,1,0,31,31,0,0,0,100
01_02__outside_talking_still_laughing__YVGY8LOK.mp4,0,31,0,31,0,100,100,0
01_02__secret_conversation__YVGY8LOK.mp4,1,0,31,31,0,0,0,100
01_02__talking_against_wall__YVGY8LOK.mp4,1,0,31,31,0,0,0,100
01_02__talking_angry_couch__YVGY8LOK.mp4,1,0,31,31,0,0,0,100
01_02__walking_and_outside_surprised__YVGY8LOK.mp4,1,0,31,31,0,0,0,100
01_02__walking_down_indoor_hall_disgust__YVGY8LOK.mp4,1,0,31,31,0,0,0,100
01_02__walking_outside_cafe_disgusted__YVGY8LOK.mp4,1,6,25,31,0,0,19.35483871,80.64516129
01_02__walk_down_hall_angry__YVGY8LOK.mp4,0,31,0,31,0,100,100,0
01_03__exit_phone_room__480LQD1C.mp4,0,22,9,31,0,100,70.96774194,29.03225806
01_03__hugging_happy__ISF9SP4G.mp4,0,17,14,31,0,100,54.83870968,45.16129032
01_03__kitchen_pan__JZUXXFRB.mp4,1,0,31,31,0,0,0,100
01_03__kitchen_still__JZUXXFRB.mp4,0,22,9,31,0,100,70.96774194,29.03225806
01_03__meeting_serious__JZUXXFRB.mp4,1,0,31,31,0,0,0,100
01_03__outside_talking_pan_laughing__ISF9SP4G.mp4,0,19,12,31,0,100,61.29032258,38.70967742
01_03__outside_talking_still_laughing__JZUXXFRB.mp4,0,30,1,31,0,100,96.77419355,3.225806452
01_03__podium_speech_happy__480LQD1C.mp4,0,31,0,31,0,100,100,0
01_03__podium_speech_happy__JZUXXFRB.mp4,0,31,0,31,0,100,100,0
01_03__secret_conversation__480LQD1C.mp4,1,0,31,31,0,0,0,100
01_03__talking_against_wall__JZUXXFRB.mp4,1,0,31,31,0,0,0,100
01_03__talking_angry_couch__ISF9SP4G.mp4,1,0,31,31,0,0,0,100
01_03__talking_angry_couch__JZUXXFRB.mp4,1,0,31,31,0,0,0,100
01_03__walking_and_outside_surprised__JZUXXFRB.mp4,1,0,31,31,0,0,0,100
01_04__exit_phone_room__0XUW13RW.mp4,0,21,10,31,0,100,67.74193548,32.25806452
01_04__hugging_happy__GBC7ZGDP.mp4,0,18,13,31,0,100,58.06451613,41.93548387
01_04__kitchen_pan__GBC7ZGDP.mp4,1,0,31,31,0,0,0,100
01_04__kitchen_still__GBC7ZGDP.mp4,1,0,31,31,0,0,0,100
01_04__meeting_serious__0XUW13RW.mp4,1,0,31,31,0,0,0,100
